FAR_CODE_CD,ACTION_CD,FUNCTION_CD,ACTION_REASON_CD,FAR_CODE_ID,FAR_CODE_DESCRIPTION_TXT
PATR,R,PAT,BLANK,143,
PATAAADIN,A,PAT,AADIN,144,
PATAANOAD,A,PAT,ANOAD,145,
PATPPIBTS,P,PAT,PIBTS,146,
PATPPICHS,P,PAT,PICHS,147,
PATPPIPNS,P,PAT,PIPNS,148,
PATPPSESO,P,PAT,PSESO,149,
PATPPSEST,P,PAT,PSEST,150,
PATPPSSTO,P,PAT,PSSTO,151,
PATPPUEST,P,PAT,PUEST,152,
PATMGRPOU,M,PAT,GRPOU,153,
PATPGSFIL,P,PAT,GSFIL,154,
PATPPIHNS,P,PAT,PIHNS,155,
PATPPIPUD,P,PAT,PIPUD,156,
PATPPUDEN,P,PAT,PUDEN,157,
