FAR Code,CASE DATA BLOCK,NCP IDENTIFICATION DATA BLOCK,NCP LOCATE DATA BLOCK,PARTICIPANT DATA BLOCK,ORDER DATA BLOCK,COLLECTION DATA BLOCK,INFORMATION DATA BLOCK
PAT R,1,1,1,,,,
PAT A AADIN,1,1,,1,,,1
PAT A ANOAD,1,1,,1,,,
PAT P PIBTS,1,1,,,,,
PAT P PICHS,1,1,,,,,
PAT P PIPNS,1,1,,,,,1
PAT P PSESO,1,1,,,,,
PAT P PSEST,1,1,,,1,,
PAT P PSSTO,1,1,,,1,,
PAT P PUEST,1,1,,,,,
PAT M GRPOU,,,,,,,
PAT P GSFIL,,,,,,,
PAT P PIHNS,,,,,,,
PAT P PIPUD,,,,,,,
PAT P PUDEN,,,,,,,
