FAR_CODE_CD,ACTION_CD,FUNCTION_CD,ACTION_REASON_CD,FAR_CODE_ID,FAR_CODE_DESCRIPTION_TXT
CSIRFRINF,R,CSI,FRINF,3,
CSIRFRNNF,R,CSI,FRNNF,4,
CSIPFSINF,P,CSI,FSINF,5,
CSIPFUINF,P,CSI,FUINF,6,
