FAR Code,CASE DATA BLOCK,NCP IDENTIFICATION DATA BLOCK,NCP LOCATE DATA BLOCK,PARTICIPANT DATA BLOCK,ORDER DATA BLOCK,COLLECTION DATA BLOCK,INFORMATION DATA BLOCK
LO1 R BLANK,1,1,,,,,
LO1 P LICAD,1,1,1,,,,
LO1 P LICEM,1,1,1,,,,
LO1 P LSADR,1,1,1,,,,
LO1 P LSALL,1,1,1,,,,
LO1 P LSEMP,1,1,1,,,,
LO1 P LSOTH,1,1,1,,,,1
LO1 P LUALL,1,1,,,,,
LO1 P LUAPD,,1,,,,,1
LO1 A BLANK,,,,,,,
LO1 U BLANK,,,,,,,
LO1 C BLANK,,,,,,,
LO1 P LSOUT,,,,,,,
